distancia_x,inclinacion
40779,0.0018
40880,0.0206
40987,0.0561
41093,0.0132
41197,-0.027
41298,-0.0269
41409,-0.0099
41521,-0.0027
41631,0.0082
41733,-0.0165
41846,-0.0249
41947,-0.0168
42062,-0.0157
42166,-0.0154
42266,-0.011
42369,-0.0107
42472,-0.0155
42587,-0.0148
42688,-0.0139
42791,-0.0058
42892,0.004
43001,0.0064
43102,0.002
43211,0.0046
43321,0.0036
43428,0.0056
43534,0.0085
43637,0.0029
43747,-0.0137
43848,-0.0158
43950,-0.0059
44052,-0.0029
44153,0.0
44259,0.0085
44365,0.0133
44470,0.0095
44579,0.0128
44688,0.0083
44790,0.0186
44892,0.0362
44993,0.0448
45093,0.031
45196,-0.0282
45297,-0.0158
45407,-0.0228
45511,0.0038
45621,0.0118
45731,0.0046
45836,0.0067
45944,0.011
46048,0.0039
46155,0.0
46256,-0.001
46360,0.0029
46462,0.002
46564,-0.0029
46670,-0.0095
46778,-0.0156
46891,-0.0133
47005,-0.0106
47107,-0.0107
47211,-0.0144
47318,-0.0207
47428,-0.0191
47535,-0.013
47644,-0.0092
47752,-0.0111
47863,-0.01
47966,-0.0097
48067,-0.0129
48168,-0.0219
48278,0.0027
48379,0.0319
48484,0.0482
48588,0.0511
48689,0.0384
48797,0.0231
48903,0.0028
49010,-0.0056
49113,0.0
49216,-0.0019
49321,-0.001
49426,0.0161
49539,0.0027
49648,-0.0849
49750,-0.0688
49861,-0.0307
49961,-0.0259
50067,-0.0436
50167,-0.0338
50269,-0.0257
50373,-0.0201
50480,-0.0168
50590,0.0091
50693,0.0235
50803,0.0027
50914,-0.0054
51019,-0.0095
51126,-0.0206
51228,-0.0196
51334,0.0509
51437,0.0705
51538,0.0448
51639,-0.004
51743,-0.0096
51849,-0.0199
51950,0.1172
52050,0.141
52152,0.1096
52254,0.0837
52355,0.1058
52458,0.0524
52564,0.0152
52672,-0.0018
52772,-0.0139
52876,-0.0183
52981,-0.0153
53084,-0.0087
53188,0.0087
53296,-0.0176
53399,-0.0541
53501,-0.0353
53608,-0.0272
53713,-0.0527
53820,-0.126
53930,-0.1119
54045,-0.0374
54156,-0.037
54271,-0.0218
54387,-0.0103
54500,-0.0176
54607,-0.0318
54713,-0.0518
54821,-0.0529
54925,-0.0981
55034,-0.0901
55150,-0.0833
55254,-0.0503
55359,-0.0334
55463,-0.0538
55567,-0.0738
55670,-0.056
55775,-0.0286
55887,0.0036
55988,-0.0039
56091,0.0
56204,-0.0115
56311,0.0112
56417,-0.0047
56520,0.0048
56631,-0.0009
56740,0.0018
56845,-0.0048
56948,-0.0029
57052,0.001
57153,-0.002
57266,0.0018
57377,0.0009
57492,-0.0105
57605,-0.0053
57709,0.0154
57820,-0.0027
57932,0.0
58043,0.0009
58147,0.0019
58251,-0.001
58356,-0.0029
58465,0.0129
58568,0.0126
58669,-0.0108
58772,-0.0048
58881,0.0028
58985,-0.0135
59091,-0.0255
59192,-0.0197
59299,0.0
59528,0.0122
59631,0.0331
59738,0.0195
59850,-0.0054
59961,-0.0054
60073,0.0009
60179,0.0094
60282,0.0029
60382,-0.016
60488,-0.0066
60600,0.0081
60709,-0.0009
60819,-0.0045
60922,0.0068
61023,0.0326
61132,0.0101
61236,-0.0105
61342,-0.0086
61442,-0.004
61543,0.0079
61645,0.0098
61755,-0.0109
61859,-0.0115
61963,-0.0068
62069,-0.0019
62172,0.0029
62279,0.0056
62388,0.0157
62496,-0.0195
62610,-0.0044
62722,0.0
62825,-0.002
62935,0.0036
63042,0.0179
63150,0.0018
63252,-0.002
63353,-0.0177
63465,-0.0009
63567,0.003
63672,0.0028
63781,0.0239
63890,-0.0319
63995,-0.0029
64101,0.0009
64208,0.0037
64313,0.0038
64425,0.0045
64533,0.0055
64641,0.0083
64749,0.0148
64859,-0.0109
64964,-0.0086
65065,-0.004
65176,0.0018
65278,0.002
65388,-0.0082
65492,0.0363
65595,-0.0078
65705,-0.0064
65809,-0.0154
65909,-0.0278
66017,0.0317
66124,0.0196
66226,0.0137
66331,0.0019
66442,-0.0027
66554,-0.0054
66664,0.0009
66769,-0.0028
66872,-0.0117
66973,-0.002
67074,-0.002
67184,-0.0054
67285,-0.001
67391,-0.0085
67499,0.0018
67609,0.0
67719,0.0
67825,0.0009
67931,0.0037
68037,-0.0019
68140,0.0029
68244,0.0096
68347,0.0125
68456,0.0147
68562,0.0132
68667,0.0181
68777,0.02
68877,0.022
68981,0.0279
69088,0.0263
69192,0.0259
69296,0.0269
69406,0.029
69507,-0.01
69612,0.0
69722,0.0018
69835,-0.0169
69950,-0.0147
70056,-0.0207
70170,-0.0281
70285,-0.0243
70400,-0.0226
70515,-0.021
70626,-0.0171
70740,-0.0167
70853,-0.0202
70962,-0.0211
71070,-0.0046
71177,-0.0028
71278,0.002
71379,-0.0059
71480,0.0
71592,-0.0009
